color,RPM,stroke_frequency,producer_name
978,854,131,1499
340,933,1578,116
385,851,1094,646
461,753,1081,498
1492,447,120,1834
1541,1193,125,182
614,267,874,1229
742,313,1242,713
1491,119,1940,781
754,95,786,474
483,1509,357,1878
101,1339,685,140
1691,1669,1196,1774
578,830,116,1465
1242,1934,715,1687
673,559,1866,888
268,1555,281,1141
1979,1544,285,1723
267,1356,1577,858
1242,512,740,112
809,168,1556,828
436,463,1957,1677
583,826,1650,1754
213,1595,1791,892
1444,917,975,1799
682,972,699,618
1123,1001,1207,931
1089,1993,323,1796
1682,1843,900,464
1399,1062,1744,1538
1058,1144,814,1196
1597,930,1958,1140
84,711,252,1241
457,576,1640,674
715,947,874,1282
460,255,480,1637
233,1572,574,457
1976,1653,965,1924
1454,25,727,34
1922,124,480,1654
869,1956,1671,1410
863,913,1072,1991
1910,287,548,716
20,1505,528,1882
1967,1186,1301,479
1321,1529,1739,1375
978,1069,1615,1729
1436,1079,1260,435
637,1226,1867,1972
317,1511,1642,1832
1847,1635,367,1553
1447,517,797,995
326,1914,1444,1776
545,1245,1353,80
33,551,1050,888
478,192,1953,152
1614,391,138,355
1840,628,908,1086
1403,95,1003,1153
1576,1255,129,1841
1063,737,1906,1715
1110,1810,1852,1435
186,1255,1006,625
905,959,1981,1964
909,214,29,1589
1763,724,729,1254
1122,1226,1725,547
472,1283,1710,1431
332,669,128,673
1740,806,1097,1428
1308,1348,139,861
325,1806,358,1197
270,463,1553,619
1850,1319,1108,1557
1231,915,1212,1357
820,1250,746,628
302,196,1662,1833
1422,1261,523,936
1397,405,172,209
608,1189,1195,222
1853,1440,390,846
644,219,606,1277
962,1229,830,1550
1756,139,1047,540
579,1158,920,173
1828,1485,206,102
941,1740,1256,26
247,102,741,1052
1918,759,118,180
855,1493,1242,509
1371,1624,463,1789
817,1670,1315,322
1417,1675,1116,805
1849,892,208,452
443,201,206,405
1558,185,166,1614
370,1225,951,1073
1070,1724,505,1848
631,4,1681,557
124,1418,689,1826
1592,863,1834,973
904,1592,21,785
507,1714,1869,112
1269,386,749,1060
1661,290,1624,1268
310,877,1986,1004
1516,1110,1616,1615
1342,930,644,499
120,212,255,251
605,551,1566,779
806,378,1320,334
1829,910,922,978
1665,1680,1311,322
64,1036,811,369
972,1313,1407,333
363,1785,459,1229
766,592,588,707
551,163,1203,614
1646,1612,632,1756
745,149,942,360
1623,1719,364,91
1041,1827,1430,1453
1228,1915,1490,1169
1084,556,1106,990
1784,1554,1585,669
552,1494,190,585
1786,405,468,633
1725,311,1250,389
264,1664,627,314
839,964,1081,693
1313,614,585,815
1643,1548,312,1799
1594,1140,25,879
584,545,213,75
876,298,1145,1270
1091,1882,1996,1986
1969,572,294,1589
1904,1545,1234,1684
2,1523,1723,33
36,399,309,1654
1584,38,1319,1527
211,1679,302,1370
1147,775,816,1556
705,451,62,697
1214,510,1758,715
965,1977,642,842
302,1366,325,1568
1793,535,561,212
1986,123,430,1130
1833,1239,1136,29
1474,1432,63,812
1882,1252,1346,1528
120,409,1518,1804
1672,950,1402,153
600,1466,1440,1803
841,1488,1612,1231
1103,161,1250,1623
823,1113,380,686
1559,372,462,659
1589,925,486,453
1597,611,1018,325
1915,1856,461,730
1279,459,1478,856
761,1607,1036,531
1644,1138,320,53
1963,1085,861,973
1613,1514,122,1799
1560,697,1562,1473
1754,1898,953,1829
1560,304,1176,1953
291,571,1489,1392
1141,1649,818,1484
1625,1627,360,620
413,1098,868,1214
937,1770,310,1569
35,1911,488,1905
256,1584,1358,1605
141,1218,1530,1604
690,1646,1259,798
864,1404,1511,226
899,1115,161,843
1706,907,771,1799
285,1826,88,1175
1282,1647,277,587
1565,1221,792,1164
775,417,1563,1757
617,1131,942,527
630,448,1787,356
619,480,100,452
297,685,503,148
416,1484,1970,1917
1372,1324,481,58
191,1019,1483,278
729,211,731,804
1067,1319,1302,1029
1234,253,596,1972
1051,767,1235,408
1048,1488,135,1953
1962,1246,1577,1205
1716,1541,514,1250
1575,518,935,451
417,858,992,1243
1119,422,313,1032
1943,457,769,1617
674,195,597,1942
1834,369,1454,571
663,638,228,1479
1785,85,1788,267
70,781,240,13
1596,1983,399,1382
1884,682,906,1795
1752,67,1430,1844
211,768,796,1964
1309,1509,1455,57
1128,1778,377,1303
426,736,1794,167
226,161,1600,839
962,978,970,777
1870,1691,618,1809
548,869,1048,1420
1320,43,867,911
196,503,1511,812
1304,245,644,1124
667,1816,1210,1563
368,1031,475,1969
687,657,370,1426
56,1356,20,1159
504,1680,1743,100
514,1684,528,1460
737,1180,1855,743
44,816,67,754
1035,1157,400,1561
1307,738,1167,1106
84,1962,334,692
697,1904,416,1878
481,327,506,1292
590,1803,1054,1629
1669,1834,1038,289
599,989,381,1397
1497,1794,1760,466
23,1002,1076,966
1739,1513,1871,247
1080,1095,310,709
838,341,845,362
1507,636,823,59
1681,990,1761,1884
1953,1275,544,394
855,1784,1923,370
1777,190,765,122
1021,1497,459,581
865,1225,1641,976
356,486,136,1764
347,1486,1404,570
893,1639,584,645
809,213,463,474
1548,1658,1536,1095
1574,824,1028,743
1455,1728,1886,837
1164,1851,1667,48
317,23,1879,707
1531,1302,1156,720
507,449,955,169
1140,459,230,1556
772,1284,834,595
59,1336,1741,1206
1815,15,1503,872
1647,173,1956,504
187,383,1119,1820
1504,1599,485,1657
123,153,111,1389
86,1885,1170,719
1352,1115,1930,701
516,572,1398,27
1161,1525,1441,404
1661,1112,1362,735
1371,1025,1087,1721
367,1794,105,1611
1440,926,104,999
887,1121,682,1420
1366,706,1469,526
349,1763,989,921
1714,505,1290,284
1612,1768,1836,1179
709,465,1459,472
1259,293,612,8
1658,1972,1673,317
1790,908,1466,1286
1719,561,777,1907
1703,1284,1548,1450
675,1764,1837,1405
835,1829,1612,496
906,128,1905,729
1106,287,934,1422
847,538,349,200
1311,1449,1688,1723
97,1169,1911,1515
1006,853,1967,1393
1918,569,214,444
1194,1095,75,1085
956,1633,1972,928
284,1427,1868,591
997,0,29,1419
509,1758,150,1888
179,980,1604,1626
429,1545,992,442
548,1585,547,370
1602,896,1232,1383
316,1105,47,876
1699,741,1772,820
1194,666,243,1591
1178,644,1167,307
1835,1696,473,1664
62,553,1931,281
37,1077,86,1035
1223,1779,219,815
594,1703,418,19
764,93,1850,1599
521,26,1718,1247
1049,1411,552,748
1185,1846,1628,960
326,248,937,1693
1234,1823,1339,642
1288,1850,1312,1435
556,454,1737,1421
557,1737,1236,637
1289,1325,1462,897
919,487,608,130
493,1225,1531,914
206,254,1544,1717
379,1577,1701,32
1361,571,1433,825
2,1087,1370,837
2,1452,487,1889
1899,32,119,525
787,121,481,372
616,951,1712,218
58,1193,1134,145
247,1817,1260,521
1418,785,1849,1364
1159,1353,1246,72
1673,1536,1648,1169
430,1367,892,628
831,448,122,322
1653,385,1318,1505
1776,512,1929,590
1635,161,1770,1396
913,1576,1303,535
1249,1975,523,334
803,308,1894,1670
429,1078,1236,98
114,1803,229,866
248,1880,1918,1880
1878,1839,345,153
754,1922,820,593
1734,905,1571,1601
640,1694,182,1890
1164,1542,474,1546
1496,1393,1006,1244
989,1637,784,1526
1805,294,936,352
1825,686,601,1553
1896,1547,958,345
1396,577,1210,1299
1556,1150,448,1873
742,1918,192,1434
1344,1129,1654,1653
1481,912,366,1031
1996,1117,1826,791
1030,1009,1093,130
327,1464,568,1125
1592,1417,145,1659
1904,1994,1452,416
1469,247,1688,1715
629,635,829,1102
495,727,888,587
1041,110,1334,22
1170,1143,955,1153
488,1712,70,1452
1195,460,76,410
1492,1414,1431,436
1579,1929,347,380
1585,340,807,76
1209,77,972,588
402,885,545,739
1059,1497,792,554
175,899,358,783
706,428,823,1997
614,546,1866,1529
783,388,1880,1687
58,534,1044,1872
1534,1811,436,904
1747,1134,1893,1594
792,1253,802,1765
1503,508,985,894
1211,1261,1028,536
800,1341,793,141
921,866,1063,1871
1690,1616,1935,781
1517,1246,1760,1415
1982,699,508,1316
703,1401,248,408
1216,1429,417,348
12,52,1451,1293
858,312,900,1002
1192,1455,738,74
1073,903,934,602
741,941,1001,1773
1323,856,1409,1960
1024,1797,345,1074
1025,664,534,295
1478,1893,1076,1244
1073,16,1576,290
668,1214,1303,1109
1120,1463,48,1670
70,244,326,1948
227,1880,1998,1963
1175,934,1465,1587
1812,1539,878,1958
478,68,1768,1617
326,1746,1773,345
1051,311,1427,998
1028,399,550,103
597,1280,392,86
564,1956,303,547
1914,1901,795,1429
1672,1269,987,1838
499,414,1706,1211
1716,716,1949,1179
1707,422,731,128
1921,1661,1406,1586
1743,76,1271,1525
1551,1869,283,188
1665,949,717,648
864,821,1169,1822
281,1201,1185,1216
885,502,342,1214
91,1514,1750,1667
532,1780,1896,323
1915,1120,386,1428
1384,1618,1367,1575
1105,953,473,1343
339,1635,614,1051
1586,11,919,615
339,1159,911,926
706,1945,1229,1098
974,1137,1121,525
1242,28,1173,943
666,1313,1762,1635
1919,353,66,104
1177,389,971,893
918,1557,1026,781
863,1038,1349,264
1658,625,1964,1301
538,961,1540,1816
556,1510,973,1060
1614,878,129,638
1797,1588,312,1158
165,1335,1683,137
1550,1446,1262,1986
160,128,628,331
1505,1219,657,1813
1289,308,1338,1065
467,1998,1868,1086
1670,579,1687,1321
588,1790,1208,1615
255,519,358,1611
1825,970,1648,1573
1406,1453,867,1644
797,886,1010,633
879,653,406,69
1418,1501,919,265
528,1823,592,841
1663,691,1929,567
396,308,474,1622
363,600,981,1502
449,269,1607,184
438,668,1385,1650
244,398,1102,697
1650,1636,1436,1597
1940,1629,399,430
1397,779,882,893
1713,451,1707,564
1600,1185,543,1654
707,659,1507,1225
219,1923,1724,320
1004,1030,1032,475
1849,343,1011,26
1958,223,795,1089
1704,308,378,1829
1872,840,1753,1490
429,1216,1351,1786
170,680,101,48
1903,827,1062,1944
1377,1516,227,1537
812,1078,1184,25
773,1560,745,1596
1300,354,13,159
284,1511,689,794
492,1822,325,1057
1295,1112,898,1609
1546,1664,387,634
1562,1143,973,879
442,1894,1882,982
526,1868,1869,316
998,1636,810,675
1189,211,1156,150
221,1747,1900,421
490,1090,1456,712
677,545,863,420
852,830,270,1796
454,1251,610,376
1853,149,230,1929
1369,1435,1464,1947
1972,1197,834,1782
784,157,133,1679
1079,783,1315,697
1369,440,140,257
443,903,1474,333
195,1563,30,240
1969,316,1941,25
1322,1132,23,1560
70,1195,1317,1502
1829,197,142,327
813,1388,1713,1380
438,404,4,586
767,1685,1942,158
459,245,128,1590
418,1938,27,1118
41,1459,712,138
1119,276,1274,524
716,1864,762,578
1803,1550,1859,202
1070,1965,772,1163
554,1126,1211,1943
606,1926,1154,315
0,633,417,962
1583,56,1655,1441
1373,685,1439,1057
1241,485,1196,1189
1914,1618,233,1864
654,1288,109,1398
754,1711,1973,1700
230,437,1953,480
830,686,1211,1698
634,810,787,1635
973,94,1451,1055
861,1754,970,648
859,1865,914,1782
485,1609,1491,1839
172,843,382,88
768,167,123,1346
900,773,1694,1021
1580,1333,1248,1148
1626,271,1492,369
786,1819,1783,1103
841,1843,841,346
431,1019,746,1483
117,661,1383,140
1512,1874,188,440
978,1147,1836,857
1499,1134,367,311
1731,426,1133,737
392,1293,1406,811
474,1056,1301,30
1193,1281,155,1466
18,101,1116,1784
1708,247,324,1120
749,1074,1896,978
1273,1401,1904,803
1294,1827,1642,505
1047,1602,840,188
539,800,1203,1261
1351,523,1021,1900
691,1907,1524,32
635,431,288,17
1927,562,423,1183
1623,347,34,1700
1495,479,485,1000
1584,862,1638,1220
1077,724,670,1289
914,1259,1732,185
490,920,1135,1868
546,422,1745,584
1692,703,96,1491
667,1252,1085,15
1108,1889,859,1902
1090,436,825,17
1547,1123,1802,1568
1278,545,1572,1750
941,1002,1330,1084
42,1266,1701,427
1675,1030,304,1527
1216,1425,993,1890
1260,982,1735,102
311,949,626,916
1837,138,1894,305
967,676,475,399
470,331,117,1728
1423,1054,1459,255
1084,1416,1014,812
994,1028,553,426
26,801,928,1969
1418,1584,51,1281
1360,150,1956,1158
635,1704,1585,1445
506,922,695,1220
1043,1618,768,1312
1267,851,1783,442
992,553,1283,1701
510,933,1064,3
906,1883,212,1115
1655,641,1309,1899
880,898,1314,603
1409,151,1274,311
1018,1197,945,1388
1445,1021,1098,1062
1286,1722,1202,738
1618,800,1678,979
746,895,1497,993
1571,1302,880,1233
417,1416,1211,825
1807,1400,548,422
461,985,143,99
1660,1383,1222,84
1177,847,1763,1955
1344,211,56,1387
1058,1176,1953,572
512,1544,1251,1870
1530,657,509,1366
1337,1383,545,1225
1827,437,1902,229
1386,1834,83,1167
1662,1492,1338,487
179,627,1295,1526
1583,102,485,1662
72,1635,1511,1597
310,777,588,645
179,1529,951,1961
1257,1165,1629,480
1244,176,1453,1213
333,349,608,723
1050,1345,1548,273
1331,583,751,1448
414,1519,377,1442
1109,398,1397,1093
1659,731,1615,555
683,1497,179,385
475,1297,1031,439
1742,1315,962,1349
536,630,1016,738
1138,91,337,1534
836,671,885,1804
529,946,1047,1215
821,1286,422,1561
445,251,1674,1230
1485,1631,1572,201
957,1080,597,578
1829,1707,1425,1135
1615,1604,583,694
180,1029,1110,550
441,1906,1246,880
685,414,459,276
1351,120,1494,1444
1043,1457,1590,1149
982,1460,1067,11
1801,1123,1100,627
1239,1707,1130,130
1858,1198,710,258
1161,1038,860,431
1704,228,1745,574
174,166,504,559
451,841,1578,748
608,974,958,593
1237,102,562,1073
1957,1918,468,400
1029,962,1297,1465
465,873,1930,670
346,813,1439,24
1293,1166,1100,808
519,83,212,1709
577,117,773,637
1967,713,1529,1622
1351,1121,1716,1562
1201,1033,815,412
79,1536,361,1481
1503,45,1725,1395
493,859,1414,1978
696,1034,1842,1122
1925,614,1268,736
575,327,1812,1839
347,1915,808,859
1947,197,323,737
1657,51,1524,1110
1365,1757,276,1556
1573,1191,1530,554
318,1411,579,1492
124,760,391,113
1525,832,1203,919
529,570,1808,1614
794,715,297,395
463,1787,668,1128
751,88,204,893
695,1901,1214,1359
283,518,293,1716
187,949,255,597
919,75,1933,1756
270,1511,1994,1609
1303,1301,5,552
1902,1004,499,1063
930,1222,1534,1919
380,1181,1510,470
1363,1952,943,1677
309,1308,762,83
1426,364,784,1078
1325,532,1133,694
1096,413,1159,1811
28,1822,1749,421
1258,768,949,673
1086,1616,1928,1767
1783,37,1478,948
347,1044,1416,1909
287,1242,1251,519
1279,1032,109,1539
905,1339,1886,533
1811,717,1614,656
256,727,1775,1792
1665,170,37,1383
181,704,1067,1650
417,96,1496,1881
1,483,1794,715
1521,1306,906,1537
60,1538,397,1149
362,1950,1487,1423
1018,690,800,1334
1268,15,318,232
88,109,128,502
982,103,1314,70
702,524,699,418
156,1398,969,1599
492,1365,1187,510
1171,1799,820,1288
1823,482,308,1633
1973,466,876,1290
135,782,1918,452
128,191,1744,879
466,1936,783,145
832,1244,1257,1066
479,129,1190,595
290,42,1402,1581
1117,1803,1677,578
1447,1365,353,1835
1150,325,650,610
1745,1792,16,991
793,1301,856,461
291,38,0,879
783,22,539,168
1743,570,1321,29
1591,318,1619,1929
1064,331,873,1720
1070,1928,744,1384
1989,159,934,1571
822,547,1765,367
1571,819,1347,1709
1902,1156,903,578
556,1511,612,1255
882,893,1934,601
166,916,939,1534
1937,936,410,1124
266,1661,255,129
1317,1599,1322,1248
1150,934,610,916
427,1003,910,231
1435,1193,302,780
913,810,1524,13
217,764,403,783
1960,1578,144,325
914,81,1643,15
208,1627,1480,76
1527,1322,1302,613
969,171,894,493
721,1872,1954,1600
662,1034,1118,1779
276,576,1125,373
578,322,302,763
377,726,1642,573
1553,1821,181,801
1617,1576,1373,813
1561,862,1253,984
257,1190,1927,930
1491,1159,184,1735
1301,1168,111,1951
1959,1644,49,1961
42,1688,668,208
60,31,428,892
256,1956,146,1896
1418,494,1109,426
1702,1829,777,360
1106,554,1300,1963
1601,1095,1810,1763
1658,1521,147,1333
744,7,1102,1642
1595,1694,1841,1241
1,1255,72,1059
263,1303,139,1456
955,549,1369,1952
1721,180,805,819
1045,1401,6,933
892,1455,959,736
322,1414,1173,1557
1366,1069,777,344
1485,181,598,1179
1893,1045,104,1294
51,905,698,1043
1279,1846,1858,1629
876,1550,69,1992
332,41,609,1174
1412,619,1537,69
1377,167,722,1903
1022,415,57,1397
796,54,1936,1017
1441,74,601,1789
1405,1722,1457,470
788,776,1942,1172
167,1722,1258,1246
55,1432,941,114
1907,1121,668,1318
1162,427,1197,386
577,82,1455,1375
559,1182,1683,1393
1578,1422,453,1278
1163,1844,1198,1533
1503,73,1145,1105
918,1082,1258,420
1697,705,1101,1676
1744,1017,1110,693
336,1596,848,1045
4,185,1213,149
750,946,1124,1910
1497,778,1797,1872
1496,1844,870,1097
268,1096,622,1519
114,509,1247,1402
337,1238,780,1456
1899,1811,1297,1230
1315,1075,907,411
1561,1880,1840,1526
1341,1913,525,1025
435,1480,1795,1553
1695,1667,1125,1780
432,1055,800,68
1827,1166,1526,364
124,55,1381,969
485,396,554,489
1248,1364,374,358
628,137,642,434
1223,1588,1190,189
1030,1786,1838,1312
1455,1441,1866,1267
875,1845,1215,680
216,375,1563,117
1096,859,1792,1550
1583,914,1937,504
1598,610,869,1327
1876,870,854,397
82,1797,1656,764
310,1141,1968,415
1882,985,205,1007
661,1434,1534,1022
318,318,384,335
99,180,144,491
247,1819,275,1890
426,1200,1952,139
279,1668,416,1779
545,1737,911,1789
699,522,415,452
615,1890,1689,1401
1801,638,823,502
1776,1776,928,852
415,600,122,1122
1193,1489,1005,1881
1423,61,122,963
88,769,329,1929
346,1783,1832,675
1294,870,1783,194
271,967,582,415
331,322,1004,638
528,425,1614,915
722,1116,52,1984
1537,274,1308,1407
1205,1522,172,857
1671,1436,1247,1333
381,791,1239,1246
1566,774,401,1277
357,1271,741,1261
548,68,367,521
63,1349,909,580
1887,261,1392,392
774,1844,995,1492
960,1701,1021,946
1294,97,1302,1469
1466,1391,912,842
1611,159,81,1547
576,1870,306,1319
1390,766,418,777
1429,573,656,1834
908,346,980,511
19,723,1546,1421
1647,722,755,1745
1118,414,1092,1663
402,280,1215,14
95,1739,698,644
1501,1710,1101,159
664,1831,48,1779
1404,1524,33,462
473,1900,286,1748
430,561,168,1501
1162,1623,549,694
969,26,482,240
1147,959,901,1320
1161,1377,970,1095
872,229,326,167
1175,934,1080,1894
1882,562,896,1206
192,472,1570,399
1020,434,1924,1975
1544,685,313,283
685,800,786,767
1845,1208,1508,832
1921,1313,1902,1466
487,24,1690,1903
1569,572,1124,270
878,731,933,710
45,437,1025,1140
1594,183,870,1170
366,892,1545,442
1447,1909,33,1663
209,371,1089,707
1655,260,363,178
1476,909,726,825
1046,737,109,1304
1408,884,902,1104
1226,1583,20,290
1938,580,702,1784
1602,1515,1121,1883
1151,1529,653,1080
673,936,1492,1001
1325,1453,362,1034
1370,191,129,84
503,594,773,147
54,1214,1663,1122
857,1011,722,1978
1907,380,1690,541
27,762,509,23
1356,302,1867,1170
956,1340,1383,955
495,736,9,823
1677,1172,809,1740
1890,685,1283,875
1721,1360,415,1163
1873,209,1683,627
947,859,1387,35
1551,1582,1685,1051
55,1054,106,1362
1199,385,404,458
1987,928,1746,105
1179,1252,602,397
130,424,698,893
1016,1553,266,1062
503,1567,1229,10
503,158,179,804
1755,327,219,691
3,1207,1596,1644
207,887,915,1711
1649,1963,969,1268
1786,247,1497,1705
1692,1661,1922,281
1014,577,1492,1518
1306,1299,88,1598
1517,1296,892,12
1699,1500,545,1866
1276,1801,1515,1045
1029,1923,1341,1525
784,650,131,1569
1950,1424,673,1421
1239,1111,1372,137
958,900,781,798
1165,862,794,512
1179,1013,1212,899
1529,289,1676,1368
772,280,985,1584
441,1139,1870,30
381,1209,390,275
1267,1984,459,950
11,1879,1144,685
972,159,1379,317
69,1633,41,1994
513,1498,815,633
529,1197,391,1908
356,1003,1488,1552
1799,1111,1551,123
981,782,1070,178
1841,304,1941,155
177,1320,57,947
557,1067,631,1958
1182,119,762,1538
1438,401,68,133
551,1391,991,1125
805,1286,1340,1533
1966,1195,1656,1795
575,1918,1497,1652
1709,1664,41,288
1709,799,1939,1456
1732,1636,1127,365
265,1212,689,1318
1291,1887,1771,1970
160,279,621,228
956,1336,108,1710
970,1371,940,1910
54,609,1698,1016
1109,1691,245,162
223,1334,1455,448
1127,1819,1361,1313
582,331,1481,573
1178,1440,1642,472
945,987,836,469
1287,1216,447,1026
1088,236,1083,1151
480,1434,332,491
1898,374,367,772
1434,1185,1981,36
550,1235,1957,249
1694,1787,1838,957
1804,467,624,844
606,236,1387,1061
1791,1016,1005,1415
1391,1710,377,1996
1122,537,774,1887
1205,1375,1545,750
1275,772,1890,835
1097,1453,1105,518
46,1972,1220,741
1280,1715,1478,1267
640,109,254,57
1667,235,1756,822
420,197,545,227
566,6,128,166
415,1531,1303,677
712,71,1148,1575
174,1168,627,742
1418,884,156,928
1677,221,804,1290
853,1334,1305,557
1152,1280,461,575
1849,574,1586,321
867,1469,1196,1136
1785,576,235,628
1688,1305,1090,6
477,412,1336,367
1257,1636,1317,617
1293,1507,1622,1176
1440,1587,1149,772
1493,325,50,96
279,113,1252,1408
340,1328,484,266
1148,1450,1317,1437
1038,1739,1669,309
138,1959,782,1184
1008,1151,1314,1061
1559,1812,1696,1375
389,1219,864,1384
364,679,1197,177
1024,1661,911,592
519,1712,966,1115
717,651,1431,670
804,756,1985,373
1638,1221,339,1958
733,559,1715,1628
636,1976,988,1221
1485,135,646,1443
1694,911,1068,98
649,1990,1862,1873
736,1206,176,1597
1222,957,1967,12
532,381,1112,1664
1778,498,90,980
249,1428,1934,268
587,1939,470,1684
404,1033,1822,818
763,492,1739,348
883,591,1487,657
1861,1058,1274,1810
634,51,1542,946
1649,109,1768,951
147,709,1354,1247
497,347,535,1090
882,1651,543,1760
800,218,488,1065
1006,560,1151,1148
917,142,36,269
724,1264,7,1054
73,744,30,823
556,884,1122,1640
305,955,1501,1823
1063,526,1527,614
302,115,1444,1756
496,982,345,353
1125,1332,47,1639
1207,190,623,1727
524,1240,1070,1573
1902,410,1234,953
1673,1004,1902,539
894,491,1080,236
747,1515,1987,1072
1284,1108,1271,1009
1903,1034,856,1572
280,133,530,829
551,1200,569,1056
1360,913,915,1624
329,28,281,1414
1374,1522,170,1909
1540,1922,283,503
305,1860,375,1095
1318,1009,203,1842
1356,812,532,1225
1325,1824,1200,1976
385,687,690,442
660,1091,1751,1117
1201,1994,653,308
226,407,1273,772
647,1140,347,1846
1870,1417,1314,622
1133,1757,229,1238
483,412,825,142
146,720,468,457
83,1746,1618,1346
1596,0,1442,1837
904,277,1042,1873
1105,549,168,24
1235,1401,882,1718
779,1805,1581,1264
456,247,29,423
1504,1517,1470,1924
909,1161,394,1959
1215,1411,368,20
818,844,599,872
1266,934,1069,368
198,1480,1967,315
215,785,1533,1560
35,212,1244,1445
1934,160,841,1946
1085,608,1389,1309
922,111,415,709
1683,920,1222,902
1259,1720,572,980
1311,1851,67,618
1961,1007,19,1454
1159,942,1682,1348
1025,602,1049,1832
37,461,1042,668
709,34,1951,464
11,1138,1621,142
1669,1943,1480,251
1253,1122,1245,843
1379,667,265,1976
1286,1489,1252,10
1867,650,330,1989
1277,236,277,233
387,1258,1191,1074
1845,1914,592,1925
113,606,1114,1616
126,1602,1867,259
1731,1048,1473,161
624,1692,370,195
711,619,780,0
1474,265,442,1950
390,495,1187,1656
620,762,864,234
194,1572,1128,99
791,965,998,1967
1808,467,1246,338
1051,986,931,693
1267,416,1655,1931
300,815,1501,1252
881,271,1193,449
1872,77,1983,572
477,1234,1852,209
319,69,1434,601
411,1940,840,293
501,1998,211,1148
1232,662,1615,880
1148,1919,944,1779
1739,1734,4,1524
274,912,217,744
566,687,879,672
1332,1748,1511,507
538,845,89,1881
399,276,136,227
1754,647,251,646
1824,692,1651,1608
713,913,1621,1818
1946,539,732,1862
1555,205,189,1425
1710,349,1233,1038
682,377,213,1808
1091,444,110,1223
1257,720,307,1355
870,453,154,520
872,349,1172,1454
806,1820,101,802
1492,1886,558,279
1709,742,730,252
727,1318,759,1055
1038,1194,423,1092
1614,341,1129,1247
115,11,50,1378
627,215,1893,681
1236,1553,852,1260
912,1558,556,962
134,43,87,785
95,1749,221,372
958,555,1285,135
982,1526,646,1527
316,1125,286,1289
1794,1395,1637,732
1594,799,1353,1473
406,1992,1376,667
1068,122,1342,604
709,554,655,16
111,1896,1515,785
1161,369,967,1348
1929,435,45,1892
256,564,309,1704
1236,1980,1178,59
1220,668,1681,999
1956,567,1365,518
1881,1961,1990,1297
1663,80,439,1740
176,487,190,981
1,1979,115,1683
1977,633,1114,1463
761,1610,1392,1847
1164,385,561,1192
1967,1504,508,1532
1672,1877,391,1338
1231,974,1126,1641
549,1627,1255,1395
391,472,1294,66
1255,37,476,947
1481,1771,1549,933
1793,597,9,1104
155,1920,225,930
1989,508,1393,357
254,278,1497,299
376,160,645,817
563,1411,1919,1548
524,770,1227,817
1479,1698,822,1696
1683,1816,984,1692
503,1355,1055,354
1909,40,113,435
1966,977,1554,1868
1765,1603,781,528
677,585,448,1747
968,986,1030,1205
473,377,1943,225
1215,565,1370,1038
623,1710,1604,1907
1816,1925,844,1877
1944,1596,918,596
116,1222,1744,839
475,1216,845,884
600,1619,1369,1815
1309,311,1735,331
1890,1820,299,1910
1872,1603,214,1779
87,184,858,285
